,full:0
0,0.12926409859187615
1,0.0018310241457091727
2,0.012555056754906589
3,0.09162165270026176
4,0.04353686382620255
5,0.0008533261101555176
6,0.0035948136572817764
7,0.004638613350974126
8,0.26958098224726174
9,0.015722261420159846
10,0.0040030565611414316
11,9.24197124197085e-05
12,0.0007364868584191262
13,0.09012988089047363
14,0.007883876991980874
15,2.0954683201944413e-05
16,0.01456106962928225
17,0.006560294225776053
18,0.11843526013451744
19,0.06881525387554961
20,0.9382231247341934
21,0.00010847521823423723
22,0.20795945438097535
23,0.011906599539026652
24,0.15788454889431378
25,0.01576330877832364
26,0.0013509317673882323
27,0.12554042842392357
28,0.22642648119321282
29,0.2797547669865617
30,0.04885940666520038
31,0.002623477002232182
32,0.06305909448006604
33,0.01413054016661778
34,6.992079055294211e-05
35,0.26604893342256347
36,0.0020713101043570675
37,0.043252028609034536
38,0.01602966226214375
39,0.08731922155029859
40,0.007738518675066098
41,0.223670519199465
42,0.04491400305663746
43,0.14033032160818043
44,0.0670454802141789
45,0.3316262628207944
46,0.04242364272487575
47,0.015321788335273676
48,0.17576524276054142
49,0.005198020447802125
50,0.549338748030861
51,0.3202790358524166
52,0.0835796908122742
53,0.03581961608905246
54,0.040014112523136185
55,0.19821212113615924
56,0.043507084427438364
57,0.019001923920733528
58,0.20625161887471946
59,0.00855156511250465
60,0.4187061116385316
61,0.09096996320159031
62,8.328919567955503e-06
63,4.688627360208689e-05
64,0.01015245873996452
65,0.004725637288732952
66,0.08982383296655606
67,0.06171227748085188
68,0.0220171614115278
69,0.3740933597868102
70,0.04922329913178486
71,0.14299901515762944
72,0.16580654843374001
73,1.7146135520400234
74,0.16142652295284762
75,0.017432776927494602
76,0.016364987406470986
77,0.0005129170942561108
78,0.14547954922503614
79,0.4566758384166885
80,0.08172723098359352
81,0.0011942746775268922
82,0.12537489400883836
83,0.06794788819044212
84,0.08790312879708011
85,0.28436335531175827
86,0.0009855261767806925
87,0.1292949036045228
88,0.024791616706465933
89,0.2924671773496925
90,0.5039867526772145
91,0.19243271169922693
92,2.8387402455208107e-05
93,0.13809955602502832
94,0.06414353395493234
95,0.1813522107959013
96,0.011214331010134993
97,0.4072716590283063
98,0.003155765136860631
99,0.0020121848235219227
100,0.0493432371948038
101,1.062373659295125
102,0.3573297345785829
103,0.0595311859818694
104,0.10431556114871064
105,0.005938645682424979
106,0.0012534670831223854
107,0.10852897646204673
108,0.035961984239235106
109,0.030864672636220888
110,0.10811375362883756
111,0.004188863558642428
112,0.0010809510763407568
113,0.0088565077270231
114,0.04515332169684725
115,0.0017249077875114318
116,0.0030754073789903223
117,0.009419133029039574
118,0.005655013489565903
119,0.18350025722631422
120,0.00013132807542860493
121,0.0010282242209454402
122,0.0005050435277043656
123,0.32084600327273466
124,0.026048929211882697
125,0.018996144761152203
126,0.00027100915048251556
127,0.017740895685395303
128,0.0019083993182197844
129,0.0005861284756648365
130,0.32776218726751466
131,0.06315845553734512
132,0.021162355577470267
133,0.07447060475842135
134,0.0003657835800699911
135,0.013417194404988508
136,0.059965364169368734
137,0.0034694074727339604
138,0.05976161484748611
139,0.004761544895927399
140,0.12215439333504949
141,7.230231951694845
142,1.1344711539239962
143,5.9186936331777255e-05
144,0.01716691060403351
145,0.19917268490495135
146,0.00322886991668834
147,0.13006766707862186
148,0.058289731205734927
149,0.020696189267249695
150,0.011479355828386438
151,0.24259601012352988
152,0.00011467897970757632
153,0.13101986477065528
154,0.02784282303434494
155,0.0002708542283826538
156,0.013852682145151042
157,0.013972501430021452
158,0.06794376400162007
159,0.019169892821891518
160,0.0010270717216164136
161,0.0032360135937118256
162,0.23356164577544528
163,0.1223570002984933
164,0.3079342858146141
165,0.024621916244477893
166,0.12980167678909607
167,0.15457057903513655
168,0.06670771556942061
169,0.027875958271004607
170,0.12056075812362584
171,0.07734550024910909
172,0.0003740896400748634
173,0.09095819898280003
174,0.05633653910169452
175,0.030632760536368153
176,0.02330138872912749
177,0.5805481963198597
178,0.003542973042122872
179,0.023127514559251574
180,0.0358672541730626
181,0.7550368771858915
182,0.06544118161230188
183,0.07366557110219245
184,0.779681984411254
185,0.03089498116162231
186,0.020077617586820033
187,0.09672951856126122
188,0.0053037835128028525
189,0.0820691980987856
190,0.0005824933939316331
191,0.329997327958823
192,0.3059222982365767
193,0.009754303230209557
194,0.00883196057960073
195,7.448089315405676
196,0.157434735834964
197,0.23288275167233796
198,0.05322842575468921
199,0.257678015775499
200,0.013274151652323402
201,0.06439752349732256
202,0.0703961450713972
203,0.0014388266085685393
204,4.666336087663619
205,0.06696025992903006
